epoch,step,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step
0,4,,1.2694827318191528,,3.559011220932007
0,9,,1.0295270681381226,,2.799741506576538
0,14,,0.9349241852760315,,2.547020435333252
0,19,,0.9149492383003235,,2.4966485500335693
0,24,,0.8948619961738586,,2.446998119354248
0,29,,0.8920647501945496,,2.4401628971099854
0,34,,0.8957308530807495,,2.449125289916992
0,39,,0.8920291662216187,,2.4400761127471924
0,44,,0.8931506872177124,,2.4428141117095947
0,49,,0.8884272575378418,,2.431302785873413
0,54,,0.8906968235969543,,2.4368271827697754
0,59,,0.8879680633544922,,2.4301867485046387
0,64,,0.8890625238418579,,2.4328479766845703
0,69,,0.8839591145515442,,2.420463800430298
0,74,,0.8930900692939758,,2.4426660537719727
0,79,,0.8819287419319153,,2.4155542850494385
0,84,,0.8905292749404907,,2.4364190101623535
0,89,,0.8923487067222595,,2.4408557415008545
0,94,,0.8900774121284485,,2.4353182315826416
0,99,,0.8873962759971619,,2.428797483444214
0,99,0.9360056519508362,,2.5794384479522705,
1,104,,0.892178475856781,,2.4404404163360596
1,109,,0.8843580484390259,,2.4214296340942383
1,114,,0.8894593119621277,,2.4338133335113525
1,119,,0.8906531929969788,,2.436720848083496
1,124,,0.8915490508079529,,2.4389047622680664
1,129,,0.8865683674812317,,2.4267873764038086
1,134,,0.8909773826599121,,2.4375109672546387
1,139,,0.8875617384910583,,2.429199457168579
1,144,,0.8944023251533508,,2.445873737335205
1,149,,0.885142982006073,,2.423330783843994
1,154,,0.8876882195472717,,2.429506778717041
1,159,,0.8918964862823486,,2.4397523403167725
1,164,,0.881534993648529,,2.4146032333374023
1,169,,0.885312557220459,,2.4237418174743652
1,174,,0.8881956338882446,,2.4307398796081543
1,179,,0.8898956775665283,,2.434875726699829
1,184,,0.8926098346710205,,2.441493272781372
1,189,,0.8855964541435242,,2.4244301319122314
1,194,,0.8898088932037354,,2.434664487838745
1,199,,0.8894490003585815,,2.433788299560547
1,199,0.8890849351882935,,2.4329168796539307,
2,204,,0.8931226134300232,,2.4427454471588135
2,209,,0.8916983604431152,,2.4392690658569336
2,214,,0.8953331708908081,,2.4481513500213623
2,219,,0.892575740814209,,2.4414100646972656
2,224,,0.8913744688034058,,2.43847918510437
2,229,,0.8905741572380066,,2.436528205871582
2,234,,0.8884277939796448,,2.4313042163848877
2,239,,0.890407919883728,,2.4361231327056885
2,244,,0.89283287525177,,2.442038059234619
2,249,,0.8903607130050659,,2.4360082149505615
2,254,,0.8937296867370605,,2.4442288875579834
2,259,,0.8927878737449646,,2.441927909851074
2,264,,0.8900983333587646,,2.4353692531585693
2,269,,0.8925285935401917,,2.4412949085235596
2,274,,0.8953168988227844,,2.4481115341186523
2,279,,0.8843305110931396,,2.4213626384735107
2,284,,0.8914334177970886,,2.4386227130889893
2,289,,0.8849886655807495,,2.422957181930542
2,294,,0.8900067210197449,,2.4351460933685303
2,299,,0.8863803148269653,,2.4263312816619873
2,299,0.8891711235046387,,2.433126449584961,
3,304,,0.8901455998420715,,2.4354844093322754
3,309,,0.8873013257980347,,2.4285669326782227
3,314,,0.8860141634941101,,2.425442934036255
3,319,,0.8902033567428589,,2.4356250762939453
3,324,,0.8818243145942688,,2.415302038192749
3,329,,0.8896450996398926,,2.434265613555908
3,334,,0.8906974792480469,,2.436828851699829
3,339,,0.884289026260376,,2.421262264251709
3,344,,0.8815916776657104,,2.4147400856018066
3,349,,0.8860185742378235,,2.4254536628723145
3,354,,0.8878453373908997,,2.4298884868621826
3,359,,0.8885037302970886,,2.4314889907836914
3,364,,0.8944498300552368,,2.4459896087646484
3,369,,0.8903513550758362,,2.435985565185547
3,374,,0.8863520622253418,,2.426262855529785
3,379,,0.8855848908424377,,2.4244019985198975
3,384,,0.8897591829299927,,2.4345433712005615
3,389,,0.88594651222229,,2.425278902053833
3,394,,0.8917046785354614,,2.439284324645996
3,399,,0.8848381638526917,,2.4225924015045166
3,399,0.8887578845024109,,2.432121992111206,
4,404,,0.888301432132721,,2.430996894836426
4,409,,0.8878273963928223,,2.429844856262207
4,414,,0.8896296620368958,,2.4342281818389893
4,419,,0.8860601186752319,,2.4255542755126953
4,424,,0.8964626789093018,,2.450917959213257
4,429,,0.8822279572486877,,2.4162771701812744
4,434,,0.888635516166687,,2.431809186935425
4,439,,0.8935415148735046,,2.4437689781188965
