epoch,step,train_loss_epoch,train_loss_step
0,4,,0.9461601376533508
0,9,,0.8728874921798706
0,14,,0.8494331240653992
0,19,,0.8090174794197083
0,24,,0.7791546583175659
0,29,,0.7669921517372131
0,34,,0.7304164171218872
0,39,,0.7176709771156311
0,44,,0.6840521097183228
0,49,,0.6684719324111938
0,54,,0.6488192677497864
0,59,,0.6393698453903198
0,62,0.7836110591888428,
1,64,,0.6327800750732422
1,69,,0.6309044361114502
1,74,,0.6266946792602539
1,79,,0.6278623938560486
1,84,,0.6289116740226746
1,89,,0.6266223192214966
1,94,,0.6281886696815491
1,99,,0.6260886788368225
1,104,,0.6234152913093567
1,109,,0.6181271076202393
1,114,,0.6289823055267334
1,119,,0.6184080839157104
1,124,,0.6224963665008545
1,125,0.6268331408500671,
2,129,,0.6227961778640747
2,134,,0.6160898804664612
2,139,,0.6236146092414856
2,144,,0.6217608451843262
2,149,,0.6296255588531494
2,154,,0.6238004565238953
2,159,,0.6251580119132996
2,164,,0.6168842315673828
2,169,,0.6204652786254883
2,174,,0.6250134110450745
2,179,,0.6277682781219482
2,184,,0.6190847754478455
2,188,0.6205160617828369,
3,189,,0.6162470579147339
3,194,,0.6268415451049805
3,199,,0.626362144947052
3,204,,0.6229802966117859
3,209,,0.6250457167625427
3,214,,0.6154123544692993
3,219,,0.6227508187294006
3,224,,0.6210638284683228
3,229,,0.6095700860023499
3,234,,0.6237242221832275
3,239,,0.615829586982727
3,244,,0.6219443678855896
3,249,,0.6237531304359436
3,251,0.6191885471343994,
4,254,,0.6215890645980835
4,259,,0.6198673248291016
4,264,,0.6212453842163086
4,269,,0.617971658706665
4,274,,0.618403971195221
4,279,,0.6202340126037598
4,284,,0.6193870306015015
4,289,,0.6129966378211975
4,294,,0.6135212182998657
4,299,,0.6241011023521423
4,304,,0.6195768713951111
4,309,,0.6153685450553894
4,314,,0.6234355568885803
4,314,0.6182230710983276,
5,319,,0.6210873126983643
5,324,,0.623386025428772
5,329,,0.6163577437400818
5,334,,0.6246346831321716
5,339,,0.6230877637863159
5,344,,0.6162236928939819
5,349,,0.6125109195709229
5,354,,0.6188425421714783
5,359,,0.6167265176773071
5,364,,0.6170883774757385
5,369,,0.6098086833953857
5,374,,0.6115854978561401
5,377,0.6174821257591248,
6,379,,0.6118153929710388
6,384,,0.6205008029937744
6,389,,0.6187793016433716
6,394,,0.6169325709342957
6,399,,0.6187325119972229
6,404,,0.624973475933075
6,409,,0.6116659045219421
6,414,,0.6170865893363953
6,419,,0.6196268796920776
6,424,,0.6193347573280334
6,429,,0.6153742671012878
6,434,,0.6211979985237122
6,439,,0.6163439154624939
6,440,0.6183614730834961,
7,444,,0.6278835535049438
7,449,,0.6182518005371094
7,454,,0.6126662492752075
7,459,,0.6284371614456177
7,464,,0.619633138179779
7,469,,0.6137689352035522
7,474,,0.6195330619812012
7,479,,0.6189334392547607
7,484,,0.6172608733177185
7,489,,0.6197561621665955
7,494,,0.617428719997406
7,499,,0.6175897121429443
7,503,0.6173545718193054,
8,504,,0.6103367209434509
8,509,,0.6149685382843018
8,514,,0.6181137561798096
8,519,,0.6122255921363831
8,524,,0.6185126304626465
8,529,,0.6225252747535706
8,534,,0.6166865229606628
8,539,,0.6131981015205383
8,544,,0.6219868063926697
8,549,,0.6081639528274536
8,554,,0.6179899573326111
8,559,,0.6154981255531311
8,564,,0.6129622459411621
8,566,0.6172428131103516,
9,569,,0.6141613125801086
9,574,,0.6157078146934509
9,579,,0.6208509206771851
9,584,,0.6235373616218567
9,589,,0.6149106621742249
9,594,,0.6170197129249573
9,599,,0.6185362339019775
9,604,,0.6203643679618835
9,609,,0.619379460811615
9,614,,0.6191728711128235
9,619,,0.6135973930358887
9,624,,0.6191297173500061
9,629,,0.6141915917396545
9,629,0.6171362400054932,
10,634,,0.6193808317184448
10,639,,0.6227378845214844
10,644,,0.6119514107704163
10,649,,0.6197131872177124
10,654,,0.611382246017456
10,659,,0.6069201827049255
10,664,,0.6129522919654846
10,669,,0.6205667853355408
10,674,,0.6205116510391235
10,679,,0.6175258159637451
10,684,,0.6174352169036865
10,689,,0.6173878908157349
10,692,0.6165249347686768,
11,694,,0.6206828355789185
11,699,,0.617384135723114
11,704,,0.6145226955413818
11,709,,0.619532585144043
11,714,,0.6142234206199646
11,719,,0.6213918328285217
11,724,,0.6175910830497742
11,729,,0.6248636245727539
11,734,,0.607079267501831
11,739,,0.6096963286399841
11,744,,0.6131047010421753
11,749,,0.6155635118484497
11,754,,0.6209444999694824
11,755,0.61662757396698,
12,759,,0.6189689040184021
12,764,,0.6138704419136047
12,769,,0.6172225475311279
12,774,,0.6147866249084473
12,779,,0.6080518364906311
12,784,,0.6108615398406982
12,789,,0.6199620962142944
12,794,,0.623318076133728
12,799,,0.6162014007568359
12,804,,0.6152117252349854
12,809,,0.6116594076156616
12,814,,0.6254408955574036
12,818,0.6168034076690674,
13,819,,0.6121960878372192
13,824,,0.616357147693634
13,829,,0.6141021847724915
13,834,,0.60935378074646
13,839,,0.6112790703773499
13,844,,0.6164286732673645
13,849,,0.6155697703361511
13,854,,0.6129125356674194
13,859,,0.6176385283470154
13,864,,0.61739182472229
13,869,,0.615774393081665
13,874,,0.6153324842453003
13,879,,0.6187767386436462
13,881,0.6171497702598572,
14,884,,0.6114122867584229
14,889,,0.6197719573974609
14,894,,0.6153883934020996
14,899,,0.6192118525505066
14,904,,0.6241069436073303
14,909,,0.6205467581748962
14,914,,0.6195135712623596
14,919,,0.6131167411804199
14,924,,0.6205261945724487
14,929,,0.6150711178779602
14,934,,0.6114242076873779
14,939,,0.6140192151069641
14,944,,0.6182839274406433
14,944,0.6171620488166809,
15,949,,0.6161177754402161
15,954,,0.6158666014671326
15,959,,0.6145559549331665
15,964,,0.617835283279419
15,969,,0.613944947719574
15,974,,0.6189210414886475
15,979,,0.6168323755264282
15,984,,0.6157100200653076
15,989,,0.6099438667297363
15,994,,0.6171540021896362
15,999,,0.6167466044425964
15,1004,,0.6191899180412292
15,1007,0.6168460249900818,
16,1009,,0.6132248640060425
16,1014,,0.6178678870201111
16,1019,,0.6200659275054932
16,1024,,0.6146712303161621
16,1029,,0.6152111291885376
16,1034,,0.6218661069869995
16,1039,,0.6060738563537598
16,1044,,0.6171593070030212
16,1049,,0.6173174381256104
16,1054,,0.6227595210075378
16,1059,,0.6111555099487305
16,1064,,0.614395260810852
16,1069,,0.6173374652862549
16,1070,0.6167622804641724,
17,1074,,0.6174187064170837
17,1079,,0.6140754222869873
17,1084,,0.6221030354499817
17,1089,,0.6150150299072266
17,1094,,0.6178317070007324
17,1099,,0.6198073625564575
17,1104,,0.615125298500061
17,1109,,0.6184383630752563
17,1114,,0.6144863367080688
17,1119,,0.6171889305114746
17,1124,,0.6209931373596191
17,1129,,0.6169307231903076
17,1133,0.6168118119239807,
18,1134,,0.6168992519378662
18,1139,,0.6257593631744385
18,1144,,0.6163707971572876
