epoch,step,train_loss_epoch,train_loss_step
0,4,,1.0057106018066406
0,9,,0.932077944278717
0,9,0.9991362690925598,
1,14,,0.8536806106567383
1,19,,0.7695392966270447
1,19,0.8443649411201477,
2,24,,0.7012217044830322
2,29,,0.6613713502883911
2,29,0.7031658291816711,
3,34,,0.6456058621406555
3,39,,0.6370398998260498
3,39,0.6492853164672852,
4,44,,0.635540246963501
4,49,,0.6254391074180603
4,49,0.6311807036399841,
5,54,,0.6223825812339783
5,59,,0.6287399530410767
5,59,0.6266093850135803,
6,64,,0.624910831451416
6,69,,0.6237285733222961
6,69,0.6256492137908936,
7,74,,0.6293196082115173
7,79,,0.6226453185081482
7,79,0.6240705251693726,
8,84,,0.6276075839996338
8,89,,0.6230787634849548
8,89,0.6244028210639954,
9,94,,0.621265709400177
9,99,,0.6247310042381287
9,99,0.6236769556999207,
10,104,,0.6243661642074585
10,109,,0.622599720954895
10,109,0.6230646371841431,
11,114,,0.6221784353256226
11,119,,0.6232277154922485
11,119,0.6225788593292236,
12,124,,0.6223074793815613
12,129,,0.6247022747993469
12,129,0.6219365000724792,
13,134,,0.6237091422080994
13,139,,0.6201015114784241
13,139,0.6218759417533875,
14,144,,0.6195669174194336
14,149,,0.6218479871749878
14,149,0.6229111552238464,
15,154,,0.6220036149024963
15,159,,0.616845965385437
15,159,0.6224822402000427,
16,164,,0.6238805055618286
16,169,,0.6252660155296326
16,169,0.6222528219223022,
17,174,,0.6218806505203247
17,179,,0.6229098439216614
17,179,0.6221298575401306,
18,184,,0.6235029101371765
18,189,,0.6224405765533447
18,189,0.6213678121566772,
19,194,,0.6189106106758118
19,199,,0.6183956265449524
19,199,0.6208197474479675,
20,204,,0.6212151646614075
20,209,,0.6226089596748352
20,209,0.6211405992507935,
21,214,,0.6193859577178955
21,219,,0.6218467354774475
21,219,0.621116042137146,
22,224,,0.6191919445991516
22,229,,0.6195889711380005
22,229,0.6205982565879822,
23,234,,0.6230795979499817
23,239,,0.6214284300804138
23,239,0.6205340623855591,
24,244,,0.6167051792144775
24,249,,0.6211706399917603
24,249,0.6203049421310425,
25,254,,0.6200258135795593
25,259,,0.6232895851135254
25,259,0.6204394102096558,
26,264,,0.6186802387237549
26,269,,0.6256593465805054
26,269,0.6203346848487854,
27,274,,0.6190246939659119
27,279,,0.6183395981788635
27,279,0.6207646131515503,
28,284,,0.6173721551895142
28,289,,0.6234268546104431
28,289,0.6202314496040344,
29,294,,0.625226616859436
29,299,,0.6215335726737976
29,299,0.6206327080726624,
