epoch,step,train_loss_epoch,train_loss_step
0,4,,0.4125974476337433
0,9,,0.04193005710840225
0,14,,0.23769547045230865
0,19,,0.291943222284317
0,24,,0.26149213314056396
0,29,,0.18583665788173676
0,34,,0.19598983228206635
0,39,,0.13355669379234314
0,44,,0.10070697218179703
0,49,,0.0716584250330925
0,54,,0.06660017371177673
0,59,,0.05336693301796913
0,62,0.18900816142559052,
1,64,,0.060729168355464935
1,69,,0.03084658272564411
1,74,,0.036067720502614975
1,79,,0.023336585611104965
1,84,,0.02019638754427433
1,89,,0.006690430920571089
1,94,,0.04430596902966499
1,99,,0.0242503322660923
1,104,,0.010454361326992512
1,109,,0.012846019119024277
1,114,,0.03862573951482773
1,119,,0.0010179606033489108
1,124,,0.009485282003879547
1,125,0.025872599333524704,
2,129,,0.015676546841859818
2,134,,0.012462422251701355
2,139,,0.013492726720869541
2,144,,0.00874852854758501
2,149,,0.015987541526556015
2,154,,0.019859371706843376
2,159,,0.014726097695529461
2,164,,0.01648814231157303
2,169,,0.01114286296069622
2,174,,0.03006570227444172
2,179,,0.011217659339308739
2,184,,0.013834106735885143
2,188,0.013919491320848465,
3,189,,0.00767761142924428
3,194,,0.010213739238679409
3,199,,0.0031655726488679647
3,204,,0.013947092927992344
3,209,,0.00811779499053955
3,214,,0.01244713831692934
3,219,,0.009778655134141445
3,224,,0.0009213658631779253
3,229,,0.0130390003323555
3,234,,0.013434113003313541
3,239,,0.010830329731106758
3,244,,0.004563730675727129
3,249,,0.00775759806856513
3,251,0.010176428593695164,
4,254,,0.0053287772461771965
4,259,,0.015148083679378033
4,264,,0.01650669053196907
4,269,,0.01399142388254404
4,274,,0.00786033645272255
4,279,,0.010213353671133518
4,284,,0.007458892650902271
4,289,,0.006944176275283098
4,294,,0.011947130784392357
4,299,,0.011685778386890888
4,304,,0.007374595385044813
4,309,,0.009346379898488522
4,314,,0.005049439612776041
4,314,0.009294900111854076,
5,319,,0.00941682979464531
5,324,,0.012044764123857021
5,329,,0.010081698186695576
5,334,,0.00967315211892128
5,339,,0.005068901460617781
5,344,,0.014451088383793831
5,349,,0.005717218853533268
5,354,,0.009271000511944294
5,359,,0.0034699132665991783
5,364,,0.009398797526955605
5,369,,0.013122331351041794
5,374,,0.00693094078451395
5,377,0.008746868930757046,
6,379,,0.014104794710874557
6,384,,0.0011119100963696837
6,389,,0.007297137286514044
6,394,,0.007328788749873638
6,399,,0.011259487830102444
6,404,,0.008930188603699207
6,409,,0.013302347622811794
6,414,,0.005222362000495195
6,419,,0.013006442226469517
6,424,,0.005904128775000572
6,429,,0.0073384977877140045
6,434,,0.009850489906966686
6,439,,0.00701341824606061
6,440,0.008438503369688988,
7,444,,0.006887542549520731
7,449,,0.010835020802915096
7,454,,0.004981952719390392
7,459,,0.01171369943767786
7,464,,0.009162805043160915
7,469,,0.010235649533569813
7,474,,0.0051008858717978
7,479,,0.012166306376457214
7,484,,0.0069172861985862255
7,489,,0.009297510609030724
7,494,,0.006944976281374693
7,499,,0.00307046202942729
7,503,0.008284077979624271,
8,504,,0.005102492868900299
8,509,,0.0031702497508376837
8,514,,0.005267507396638393
8,519,,0.005169413983821869
8,524,,0.020089175552129745
8,529,,0.0032066521234810352
8,534,,0.0013577835634350777
8,539,,0.003283972619101405
8,544,,0.001106350333429873
8,549,,0.007050196174532175
8,554,,0.007689699996262789
8,559,,0.011198151856660843
8,564,,0.007513565942645073
8,566,0.008246859535574913,
9,569,,0.01170806959271431
9,574,,0.007329598534852266
9,579,,0.009219313971698284
9,584,,0.010949824936687946
9,589,,0.009191404096782207
9,594,,0.009405194781720638
9,599,,0.011071819812059402
9,604,,0.004938332363963127
9,609,,0.007186617236584425
9,614,,0.005004748236387968
9,619,,0.018228115513920784
9,624,,0.0033191984985023737
9,629,,0.005451296456158161
9,629,0.008118138648569584,
10,634,,0.005173585843294859
10,639,,0.0031122423242777586
10,644,,0.005054545123130083
10,649,,0.007028977852314711
10,654,,0.009373506531119347
10,659,,0.008947142399847507
10,664,,0.009154295548796654
10,669,,0.0029567477758973837
10,674,,0.0029062971007078886
10,679,,0.011439905501902103
10,684,,0.007207654882222414
10,689,,0.0027049256023019552
10,692,0.008095734752714634,
11,694,,0.006996524520218372
11,699,,0.003165892558172345
11,704,,0.011186772957444191
11,709,,0.008994964882731438
11,714,,0.0011760054621845484
11,719,,0.008934484794735909
11,724,,0.011059417389333248
11,729,,0.008925818838179111
11,734,,0.011218906380236149
11,739,,0.01114471536129713
11,744,,0.011159393936395645
11,749,,0.008973791263997555
11,754,,0.004962649196386337
11,755,0.00792582705616951,
12,759,,0.006989369634538889
12,764,,0.005229335278272629
12,769,,0.012202287092804909
12,774,,0.0028705536387860775
12,779,,0.013272199779748917
12,784,,0.005017396528273821
12,789,,0.009990919381380081
12,794,,0.010866810567677021
12,799,,0.016602016985416412
12,804,,0.0031504116486757994
12,809,,0.0049139950424432755
12,814,,0.007293269503861666
12,818,0.007897062227129936,
13,819,,0.007119081448763609
13,824,,0.009134233929216862
13,829,,0.005022649187594652
13,834,,0.013188927434384823
13,839,,0.007152905687689781
13,844,,0.002957805758342147
13,849,,0.0009711430175229907
13,854,,0.004976592026650906
13,859,,0.013357195071876049
13,864,,0.006786063779145479
13,869,,0.003032616339623928
13,874,,0.005245450884103775
13,879,,0.0032332069240510464
13,881,0.007893899455666542,
14,884,,0.01079152524471283
14,889,,0.00903521291911602
14,894,,0.0010125894332304597
14,899,,0.00697839492931962
14,904,,0.004783172160387039
14,909,,0.00287436181679368
14,914,,0.006828430108726025
14,919,,0.00914924219250679
14,924,,0.0071017020381987095
14,929,,0.002876108046621084
14,934,,0.007137375883758068
14,939,,0.010667931288480759
14,944,,0.0013037575408816338
14,944,0.007810317911207676,
15,949,,0.012033448554575443
15,954,,0.009179223328828812
15,959,,0.010350573807954788
15,964,,0.00484828045591712
15,969,,0.012662697583436966
15,974,,0.011087455786764622
15,979,,0.006955644581466913
15,984,,0.004870444070547819
15,989,,0.004987753927707672
15,994,,0.008956442587077618
15,999,,0.0049256617203354836
15,1004,,0.009618858806788921
15,1007,0.00780134042724967,
16,1009,,0.0071768141351640224
16,1014,,0.006936167366802692
16,1019,,0.011006827466189861
16,1024,,0.00698190089315176
16,1029,,0.0030442476272583008
16,1034,,0.0029242413584142923
16,1039,,0.0029137295205146074
16,1044,,0.012456333264708519
16,1049,,0.004754123277962208
16,1054,,0.011125434190034866
16,1059,,0.0074060773476958275
16,1064,,0.009484912268817425
16,1069,,0.010523125529289246
16,1070,0.007876159623265266,
17,1074,,0.004781271796673536
17,1079,,0.008735681883990765
17,1084,,0.00476387282833457
17,1089,,0.005251596216112375
17,1094,,0.002632077783346176
17,1099,,0.010954453609883785
17,1104,,0.0008745947270654142
17,1109,,0.01108492910861969
17,1114,,0.004979392979294062
17,1119,,0.010889707133173943
17,1124,,0.005243944935500622
17,1129,,0.008888809941709042
17,1133,0.008384093642234802,
18,1134,,0.0029238576535135508
18,1139,,0.013061121106147766
18,1144,,0.008911024779081345
18,1149,,0.0030509158968925476
18,1154,,0.009106064215302467
18,1159,,0.006991263013333082
18,1164,,0.004945810884237289
18,1169,,0.009104721248149872
18,1174,,0.0054280124604702
18,1179,,0.008517577312886715
18,1184,,0.004930890630930662
18,1189,,0.0029793069697916508
18,1194,,0.0049004643224179745
18,1196,0.007891848683357239,
19,1199,,0.004982883110642433
19,1204,,0.004931372124701738
19,1209,,0.01085095014423132
19,1214,,0.00923830084502697
19,1219,,0.006882373243570328
19,1224,,0.007146144285798073
19,1229,,0.0029044009279459715
19,1234,,0.009057536721229553
19,1239,,0.007196408696472645
19,1244,,0.005280984565615654
19,1249,,0.005084276665002108
19,1254,,0.010030118748545647
19,1259,,0.009039334021508694
19,1259,0.007737074047327042,
20,1264,,0.011288383044302464
20,1269,,0.014251177199184895
20,1274,,0.0009331168257631361
20,1279,,0.004998590797185898
20,1284,,0.009796294383704662
20,1289,,0.00597783550620079
20,1294,,0.0029293945990502834
20,1299,,0.009269624017179012
20,1304,,0.01333585288375616
20,1309,,0.0178677961230278
20,1314,,0.0168897807598114
20,1319,,0.00711874570697546
20,1322,0.007711399346590042,
21,1324,,0.008840760216116905
21,1329,,0.004980078898370266
21,1334,,0.00877399928867817
21,1339,,0.004143768455833197
21,1344,,0.011005491949617863
21,1349,,0.0050515118055045605
21,1354,,0.002896093064919114
21,1359,,0.01127905398607254
21,1364,,0.01005982980132103
21,1369,,0.009093336760997772
21,1374,,0.01081691775470972
21,1379,,0.005189610179513693
21,1384,,0.014804888516664505
21,1385,0.007671740371733904,
22,1389,,0.006924840621650219
22,1394,,0.001166337518952787
22,1399,,0.01710791327059269
22,1404,,0.0009831611532717943
22,1409,,0.0029462226666510105
22,1414,,0.003910881467163563
22,1419,,0.0049974811263382435
22,1424,,0.011112194508314133
22,1429,,0.0005985863972455263
22,1434,,0.010884048417210579
22,1439,,0.004934724420309067
22,1444,,0.004999235272407532
22,1448,0.0076652090065181255,
23,1449,,0.005235155578702688
23,1454,,0.00299753132276237
23,1459,,0.010361769236624241
23,1464,,0.006931836251169443
23,1469,,0.0121389739215374
23,1474,,0.00491279736161232
23,1479,,0.010908201336860657
23,1484,,0.005201377440243959
23,1489,,0.006913499906659126
23,1494,,0.008966926485300064
23,1499,,0.012674994766712189
23,1504,,0.00504987733438611
23,1509,,0.005015448667109013
23,1511,0.007668935693800449,
24,1514,,0.008982990868389606
24,1519,,0.004900932777673006
24,1524,,0.004954528529196978
24,1529,,0.004801529459655285
24,1534,,0.011055651120841503
24,1539,,0.013777473010122776
24,1544,,0.012735170312225819
24,1549,,0.0033040118869394064
24,1554,,0.004889628849923611
24,1559,,0.01886235550045967
24,1564,,0.015337908640503883
24,1569,,0.005164431873708963
24,1574,,0.005143644288182259
24,1574,0.007658557966351509,
25,1579,,0.006989398039877415
25,1584,,0.008958566933870316
25,1589,,0.0049292463809251785
25,1594,,0.006831618025898933
25,1599,,0.007043012883514166
25,1604,,0.009213129989802837
25,1609,,0.006983973551541567
25,1614,,0.009099732153117657
25,1619,,0.019233565777540207
25,1624,,0.014107327908277512
25,1629,,0.00681608309969306
25,1634,,0.007123514078557491
25,1637,0.0077324179001152515,
26,1639,,0.013965683989226818
26,1644,,0.004994939547032118
26,1649,,0.002882639179006219
26,1654,,0.0071991216391325
26,1659,,0.016970859840512276
26,1664,,0.0013208172749727964
26,1669,,0.007089181803166866
26,1674,,0.004915720317512751
26,1679,,0.011209140531718731
26,1684,,0.00909541454166174
26,1689,,0.013919581659138203
26,1694,,0.007154668215662241
26,1699,,0.0012836093083024025
26,1700,0.007655139081180096,
27,1704,,0.0029707089997828007
27,1709,,0.009230582974851131
27,1714,,0.011352547444403172
27,1719,,0.010885663330554962
27,1724,,0.007064192555844784
27,1729,,0.003070194972679019
27,1734,,0.0068590072914958
27,1739,,0.004980996251106262
27,1744,,0.004976863041520119
27,1749,,0.016800889745354652
27,1754,,0.002979135373607278
27,1759,,0.006886026356369257
27,1763,0.00762465363368392,
28,1764,,0.005005521699786186
28,1769,,0.017470546066761017
28,1774,,0.003107687458395958
28,1779,,0.009145201183855534
28,1784,,0.007060409523546696
28,1789,,0.019286295399069786
28,1794,,0.003054569009691477
28,1799,,0.0028741208370774984
28,1804,,0.0027683833613991737
28,1809,,0.011255735531449318
28,1814,,0.011009368114173412
28,1819,,0.005072032567113638
28,1824,,0.007234904915094376
28,1826,0.007663554046303034,
29,1829,,0.005013440735638142
29,1834,,0.004901077598333359
29,1839,,0.008918465115129948
29,1844,,0.005012559704482555
29,1849,,0.0071164695546031
29,1854,,0.008875706233084202
29,1859,,0.004999841097742319
29,1864,,0.004922747611999512
29,1869,,0.0069127995520830154
29,1874,,0.002909594913944602
29,1879,,0.004854894708842039
29,1884,,0.009074702858924866
29,1889,,0.0008515614317730069
29,1889,0.007582650054246187,
30,1894,,0.006914874073117971
30,1899,,0.009143545292317867
30,1904,,0.01119065098464489
30,1909,,0.0031019102316349745
30,1914,,0.009309487417340279
30,1919,,0.002869650023058057
30,1924,,0.015558041632175446
30,1929,,0.012976516969501972
30,1934,,0.005114559084177017
30,1939,,0.011083896271884441
30,1944,,0.00503298407420516
30,1949,,0.0076719312928617
30,1952,0.007567266467958689,
31,1954,,0.005083199590444565
31,1959,,0.007098264992237091
31,1964,,0.002816698746755719
31,1969,,0.01187859196215868
31,1974,,0.008831865154206753
31,1979,,0.007117935456335545
31,1984,,0.006965250708162785
31,1989,,0.011363102123141289
31,1994,,0.000879725266713649
31,1999,,0.011379697360098362
31,2004,,0.005053696222603321
31,2009,,0.010960755869746208
31,2014,,0.004972370341420174
31,2015,0.0075425258837640285,
32,2019,,0.00494355009868741
32,2024,,0.008933050557971
32,2029,,0.004824638366699219
32,2034,,0.0027024238370358944
32,2039,,0.004892055410891771
32,2044,,0.006835551466792822
32,2049,,0.00884327944368124
32,2054,,0.008862914517521858
32,2059,,0.004913310054689646
32,2064,,0.004943436477333307
32,2069,,0.009275111369788647
32,2074,,0.010888120159506798
32,2078,0.007588196080178022,
33,2079,,0.006990069057792425
33,2084,,0.007123246323317289
33,2089,,0.009164961986243725
33,2094,,0.013008815236389637
33,2099,,0.008928135968744755
33,2104,,0.012685797177255154
33,2109,,0.0071374583058059216
33,2114,,0.0012925538467243314
33,2119,,0.004895561374723911
33,2124,,0.0005964975571259856
33,2129,,0.00879212748259306
33,2134,,0.0141676627099514
33,2139,,0.009299280121922493
33,2141,0.007547174114733934,
34,2144,,0.0069127511233091354
34,2149,,0.003311548149213195
34,2154,,0.006871058139950037
34,2159,,0.004844513721764088
34,2164,,0.011149427853524685
34,2169,,0.004981665406376123
34,2174,,0.01575598493218422
34,2179,,0.016575463116168976
34,2184,,0.005263974890112877
34,2189,,0.008939799852669239
34,2194,,0.0028031589463353157
34,2199,,0.011294382624328136
34,2204,,0.0006084413616918027
34,2204,0.00752236507833004,
35,2209,,0.00842075701802969
