epoch,step,train_loss_epoch,train_loss_step
0,4,,0.9313018918037415
0,9,,0.9078456163406372
0,14,,0.8677490949630737
0,19,,0.8471596240997314
0,24,,0.8433546423912048
0,29,,0.7866124510765076
0,34,,0.7533957958221436
0,39,,0.7313652634620667
0,44,,0.7121224999427795
0,49,,0.7043195962905884
0,54,,0.6913416981697083
0,59,,0.6828031539916992
0,62,0.7990235090255737,
1,64,,0.6914123892784119
1,69,,0.6921297311782837
1,74,,0.6962313652038574
1,79,,0.6970099806785583
1,84,,0.6793224811553955
1,89,,0.6883742809295654
1,94,,0.6955011487007141
1,99,,0.6830360293388367
1,104,,0.6752743124961853
1,109,,0.6904494762420654
1,114,,0.6749733090400696
1,119,,0.6956797242164612
1,124,,0.6822506785392761
1,125,0.685471773147583,
2,129,,0.6935805678367615
2,134,,0.6836217045783997
2,139,,0.6756983399391174
2,144,,0.6634610891342163
2,149,,0.6808494925498962
2,154,,0.6884857416152954
2,159,,0.6712324619293213
2,164,,0.6682561635971069
2,169,,0.6710889935493469
2,174,,0.6771994233131409
2,179,,0.679448127746582
2,184,,0.6786293387413025
2,188,0.6776835322380066,
3,189,,0.6735808253288269
3,194,,0.6716753840446472
3,199,,0.6839057207107544
3,204,,0.6755943894386292
3,209,,0.6749756336212158
3,214,,0.6628873944282532
3,219,,0.6732783913612366
3,224,,0.6691393852233887
3,229,,0.6752092242240906
3,234,,0.6742543578147888
3,239,,0.6599327921867371
3,244,,0.6752161383628845
3,249,,0.677146852016449
3,251,0.6725488305091858,
4,254,,0.677560567855835
4,259,,0.6714001893997192
4,264,,0.6723834276199341
4,269,,0.6711465120315552
4,274,,0.6705697178840637
4,279,,0.6766712665557861
4,284,,0.665130615234375
4,289,,0.672600269317627
4,294,,0.67635577917099
4,299,,0.6737739443778992
4,304,,0.659644365310669
4,309,,0.6700273752212524
4,314,,0.6766690015792847
4,314,0.6706556081771851,
