epoch,step,train_loss_epoch,train_loss_step
0,4,,1.1121070384979248
0,9,,1.0259654521942139
0,14,,0.9511791467666626
0,19,,0.884484052658081
0,24,,0.8053258061408997
0,29,,0.7244344353675842
0,34,,0.6679573059082031
0,39,,0.6504737138748169
0,44,,0.6484695076942444
0,49,,0.6363229155540466
0,54,,0.6299492716789246
0,59,,0.6339176297187805
0,64,,0.6341333985328674
0,69,,0.6345457434654236
0,74,,0.6269533634185791
0,79,,0.6302534341812134
0,84,,0.6329533457756042
0,89,,0.6286703944206238
0,94,,0.630723774433136
0,99,,0.624139666557312
0,99,0.7322503924369812,
1,104,,0.6325048208236694
1,109,,0.633961021900177
1,114,,0.6231797337532043
1,119,,0.623568058013916
1,124,,0.6232356429100037
1,129,,0.6182743906974792
1,134,,0.6228863000869751
1,139,,0.621442437171936
1,144,,0.6206482648849487
1,149,,0.6243613958358765
1,154,,0.6232672929763794
1,159,,0.620335042476654
1,164,,0.6177662014961243
1,169,,0.6276637315750122
1,174,,0.620160698890686
1,179,,0.6213431358337402
1,184,,0.6200271248817444
1,189,,0.6280063390731812
1,194,,0.6250483393669128
1,199,,0.6222519874572754
1,199,0.6235836744308472,
2,204,,0.6215052604675293
2,209,,0.6191930770874023
2,214,,0.6211557388305664
2,219,,0.6190890669822693
2,224,,0.624261736869812
2,229,,0.6237430572509766
2,234,,0.6212881207466125
2,239,,0.6243627071380615
2,244,,0.6235527992248535
2,249,,0.6218351721763611
2,254,,0.6167839765548706
2,259,,0.6189994812011719
2,264,,0.618797779083252
2,269,,0.6166449189186096
2,274,,0.6232641935348511
2,279,,0.6206684112548828
2,284,,0.6192761063575745
2,289,,0.6228973269462585
2,294,,0.6192015409469604
2,299,,0.6202099919319153
2,299,0.6208668351173401,
3,304,,0.6213343739509583
3,309,,0.6199711561203003
3,314,,0.6244345307350159
3,319,,0.6176674962043762
3,324,,0.6216665506362915
3,329,,0.6194837689399719
3,334,,0.6182489395141602
3,339,,0.6166008114814758
3,344,,0.6207007169723511
3,349,,0.6227301359176636
3,354,,0.6186097264289856
3,359,,0.6236534714698792
3,364,,0.6241008639335632
3,369,,0.6143855452537537
3,374,,0.6190768480300903
3,379,,0.6237268447875977
3,384,,0.6170693635940552
3,389,,0.6184062361717224
3,394,,0.616765022277832
3,399,,0.6227810382843018
3,399,0.619685709476471,
4,404,,0.6184020638465881
4,409,,0.6205697059631348
4,414,,0.6250762343406677
4,419,,0.6198738813400269
4,424,,0.6158772706985474
4,429,,0.61895352602005
4,434,,0.6157932877540588
4,439,,0.6186257004737854
4,444,,0.6167823076248169
4,449,,0.6189577579498291
4,454,,0.6224057078361511
4,459,,0.6169754862785339
4,464,,0.6172131299972534
4,469,,0.615007758140564
4,474,,0.6212535500526428
4,479,,0.6192484498023987
4,484,,0.6132879257202148
4,489,,0.6226010918617249
4,494,,0.6196870803833008
4,499,,0.6191464066505432
4,499,0.6190968155860901,
5,504,,0.6215758919715881
5,509,,0.6187394261360168
5,514,,0.6159895658493042
5,519,,0.6186307668685913
5,524,,0.6189489960670471
5,529,,0.6194487810134888
5,534,,0.6231188178062439
5,539,,0.6176264882087708
5,544,,0.6239365935325623
5,549,,0.6164170503616333
5,554,,0.6154713034629822
5,559,,0.6183077692985535
5,564,,0.6131764054298401
5,569,,0.614422082901001
5,574,,0.6179841756820679
5,579,,0.6212586164474487
5,584,,0.6129120588302612
5,589,,0.6185109615325928
5,594,,0.6190158724784851
