epoch,step,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step
0,4,,1.3544938564300537,,3.8747994899749756
0,9,,0.9792090058326721,,2.6623494625091553
0,9,1.3405847549438477,,3.9221153259277344,
1,14,,0.9076690077781677,,2.4785385131835938
1,19,,0.8988615274429321,,2.4568047523498535
1,19,0.9132133722305298,,2.4925177097320557,
2,24,,0.8990638256072998,,2.457301616668701
2,29,,0.9005197286605835,,2.4608819484710693
2,29,0.8981326222419739,,2.4550530910491943,
3,34,,0.8937832117080688,,2.44435977935791
3,39,,0.8931182622909546,,2.442734956741333
3,39,0.8942046165466309,,2.445431709289551,
4,44,,0.890521228313446,,2.436399459838867
4,49,,0.894594669342041,,2.4463438987731934
4,49,0.8908675909042358,,2.4372501373291016,
5,54,,0.8905124664306641,,2.436378002166748
5,59,,0.8929300904273987,,2.442275285720825
5,59,0.8903757333755493,,2.4360620975494385,
6,64,,0.8854970932006836,,2.424189329147339
6,69,,0.8906773924827576,,2.4367799758911133
6,69,0.8900213241577148,,2.4351954460144043,
7,74,,0.8902170062065125,,2.4356582164764404
7,79,,0.8855412006378174,,2.4242961406707764
7,79,0.8886719942092896,,2.431912899017334,
8,84,,0.8865507245063782,,2.4267446994781494
8,89,,0.8897506594657898,,2.4345226287841797
8,89,0.8885566592216492,,2.4316372871398926,
9,94,,0.8893547654151917,,2.433558940887451
9,99,,0.8840698599815369,,2.420731782913208
9,99,0.8883455395698547,,2.431119918823242,
10,104,,0.8880448341369629,,2.430373191833496
10,109,,0.8835741877555847,,2.419532060623169
10,109,0.8890385627746582,,2.4327969551086426,
11,114,,0.8850565552711487,,2.423121452331543
11,119,,0.8847229480743408,,2.4223132133483887
11,119,0.888602077960968,,2.4317383766174316,
12,124,,0.8897346258163452,,2.434483528137207
12,129,,0.8874763250350952,,2.4289920330047607
12,129,0.888652503490448,,2.4318597316741943,
13,134,,0.8891485333442688,,2.4330570697784424
13,139,,0.8885350823402405,,2.431565046310425
13,139,0.8892170786857605,,2.433234214782715,
14,144,,0.883378803730011,,2.4190595149993896
14,149,,0.8903456330299377,,2.43597149848938
14,149,0.8881890177726746,,2.4307427406311035,
15,154,,0.8851779103279114,,2.4234156608581543
15,159,,0.8907642960548401,,2.4369914531707764
15,159,0.8887508511543274,,2.432105541229248,
16,164,,0.8914021253585815,,2.438546657562256
16,169,,0.8908582925796509,,2.437220573425293
16,169,0.8878291845321655,,2.429861068725586,
17,174,,0.8922121524810791,,2.4405226707458496
17,179,,0.8884319067001343,,2.43131422996521
17,179,0.8891967535018921,,2.4331815242767334,
18,184,,0.8876805901527405,,2.429488182067871
18,189,,0.8900404572486877,,2.435228109359741
18,189,0.88843834400177,,2.431347370147705,
19,194,,0.8890366554260254,,2.4327850341796875
19,199,,0.8880600929260254,,2.430410385131836
19,199,0.8885766863822937,,2.4316747188568115,
