epoch,step,train_loss_epoch,train_loss_step,train_perplexity_epoch,train_perplexity_step
0,4,,1.2459723949432373,,3.476313591003418
0,9,,1.0010104179382324,,2.721029758453369
0,9,1.2518707513809204,,3.586648464202881,
1,14,,0.9116671085357666,,2.4884676933288574
1,19,,0.9108273983001709,,2.4863789081573486
1,19,0.9242457151412964,,2.520458459854126,
2,24,,0.895967960357666,,2.4497058391571045
2,29,,0.8929586410522461,,2.442345142364502
2,29,0.8948144912719727,,2.4469027519226074,
3,34,,0.8891022205352783,,2.4329445362091064
3,39,,0.8918750286102295,,2.439700126647949
3,39,0.8898264169692993,,2.4347119331359863,
4,44,,0.8840364217758179,,2.4206507205963135
4,49,,0.8888271450996399,,2.4322755336761475
4,49,0.8878918886184692,,2.430006980895996,
5,54,,0.8856953978538513,,2.4246699810028076
5,59,,0.8913801908493042,,2.438493013381958
5,59,0.8870259523391724,,2.427905321121216,
6,64,,0.8905776739120483,,2.4365367889404297
6,69,,0.8898341059684753,,2.434725761413574
6,69,0.8869311213493347,,2.427672863006592,
7,74,,0.8873932361602783,,2.4287900924682617
7,79,,0.8834466338157654,,2.4192237854003906
7,79,0.8872858285903931,,2.4285404682159424,
8,84,,0.8848509788513184,,2.4226233959198
8,89,,0.885990560054779,,2.4253857135772705
8,89,0.8869305849075317,,2.427671432495117,
9,94,,0.8874704837799072,,2.4289777278900146
9,99,,0.8829323649406433,,2.4179797172546387
9,99,0.8867017030715942,,2.427114963531494,
10,104,,0.8884298205375671,,2.431309223175049
10,109,,0.8840326070785522,,2.4206416606903076
10,109,0.8866912126541138,,2.4270899295806885,
11,114,,0.8905506134033203,,2.4364707469940186
11,119,,0.8856092691421509,,2.4244611263275146
11,119,0.8874305486679077,,2.4288923740386963,
12,124,,0.8835461139678955,,2.419464111328125
12,129,,0.8879423141479492,,2.430124044418335
12,129,0.8865321278572083,,2.4267051219940186,
13,134,,0.8836890459060669,,2.4198100566864014
13,139,,0.8873538374900818,,2.428694486618042
13,139,0.886245846748352,,2.4260189533233643,
14,144,,0.8886528015136719,,2.431851387023926
14,149,,0.8865143060684204,,2.4266562461853027
14,149,0.8862373232841492,,2.4259915351867676,
15,154,,0.8845682144165039,,2.421938419342041
15,159,,0.8905192017555237,,2.436394453048706
15,159,0.8862580060958862,,2.426039695739746,
16,164,,0.8892444968223572,,2.433290481567383
16,169,,0.8878343105316162,,2.429861545562744
16,169,0.8868513107299805,,2.4274849891662598,
17,174,,0.885846734046936,,2.425036907196045
17,179,,0.8893383741378784,,2.433519124984741
17,179,0.8869918584823608,,2.4278244972229004,
18,184,,0.8846642374992371,,2.422170877456665
18,189,,0.8896020650863647,,2.4341609477996826
18,189,0.8860815167427063,,2.425616979598999,
19,194,,0.8862894177436829,,2.4261105060577393
19,199,,0.8807508945465088,,2.412710666656494
19,199,0.8860408663749695,,2.4255177974700928,
20,204,,0.8857195377349854,,2.4247286319732666
20,209,,0.8858637809753418,,2.4250781536102295
20,209,0.8869199752807617,,2.4276514053344727,
21,214,,0.884494423866272,,2.421759843826294
21,219,,0.8849436640739441,,2.4228479862213135
21,219,0.8869358897209167,,2.427704334259033,
22,224,,0.8902483582496643,,2.435734510421753
22,229,,0.8872483968734741,,2.428438425064087
22,229,0.8868018388748169,,2.427363395690918,
23,234,,0.8854695558547974,,2.4241223335266113
23,239,,0.8878837823867798,,2.4299819469451904
23,239,0.8864209055900574,,2.426436424255371,
24,244,,0.88254314661026,,2.417038679122925
24,249,,0.8890905976295471,,2.4329161643981934
24,249,0.8864339590072632,,2.4264721870422363,
25,254,,0.884133517742157,,2.4208858013153076
25,259,,0.8940109610557556,,2.4449164867401123
25,259,0.8860980868339539,,2.4256601333618164,
26,264,,0.8919643759727478,,2.439918041229248
26,269,,0.8885512948036194,,2.4316043853759766
26,269,0.8865001797676086,,2.4266366958618164,
27,274,,0.88987135887146,,2.434816598892212
27,279,,0.8899380564689636,,2.43497896194458
27,279,0.8862774968147278,,2.4260902404785156,
28,284,,0.8826183080673218,,2.4172205924987793
28,289,,0.886374294757843,,2.426316738128662
28,289,0.889629065990448,,2.4342451095581055,
29,294,,0.8872011303901672,,2.42832350730896
29,299,,0.8877764344215393,,2.4297211170196533
29,299,0.8882533311843872,,2.430882215499878,
30,304,,0.8870078325271606,,2.427854299545288
30,309,,0.8907629251480103,,2.436988353729248
30,309,0.8872753977775574,,2.428509473800659,
31,314,,0.8892057538032532,,2.433196544647217
31,319,,0.8890145421028137,,2.4327313899993896
31,319,0.8867344856262207,,2.4271979331970215,
32,324,,0.8853676319122314,,2.423875331878662
32,329,,0.8851481080055237,,2.4233434200286865
32,329,0.8866564035415649,,2.4270057678222656,
33,334,,0.8864264488220215,,2.426443099975586
33,339,,0.8867732286453247,,2.4272847175598145
33,339,0.8871684074401855,,2.428250789642334,
34,344,,0.883228063583374,,2.4186947345733643
34,349,,0.8856896162033081,,2.4246561527252197
